Hash Implementation,chunk,lf 0.1 valid,lf 0.1 empty,lf 0.3 valid,lf 0.3 empty,lf 0.5 valid,lf 0.5 empty,lf 0.7 valid,lf 0.7 empty,lf 0.9 valid,lf 0.9 empty
Linear Probing,0,5,96,29,72,46,55,67,34,88,13
Linear Probing,1,14,87,35,66,49,52,73,28,94,7
Linear Probing,2,9,92,25,76,53,48,75,26,96,5
Linear Probing,3,8,93,28,73,48,53,60,41,83,18
Linear Probing,4,6,95,25,76,46,55,73,28,90,11
Linear Probing,5,10,91,29,72,56,45,70,31,95,6
Linear Probing,6,5,96,30,71,46,55,73,28,92,9
Linear Probing,7,9,92,24,77,34,67,48,53,68,33
Linear Probing,8,10,91,33,68,49,52,72,29,89,12
Linear Probing,9,5,96,21,80,40,61,58,43,77,24
Linear Probing,10,9,92,24,77,43,58,57,44,76,25
Linear Probing,11,10,91,28,73,52,49,71,30,94,7
Linear Probing,12,6,95,23,78,43,58,54,47,83,18
Linear Probing,13,14,87,27,74,47,54,61,40,85,16
Linear Probing,14,13,88,35,66,55,46,74,27,90,11
Linear Probing,15,20,81,43,58,61,40,81,20,101,0
Linear Probing,16,10,91,31,70,55,46,74,27,97,4
Linear Probing,17,8,93,23,78,51,50,73,28,93,8
Linear Probing,18,9,92,32,69,48,53,70,31,93,8
Linear Probing,19,12,89,44,57,69,32,91,10,101,0
Linear Probing,20,10,91,31,70,59,42,86,15,101,0
Linear Probing,21,11,90,25,76,44,57,63,38,101,0
Linear Probing,22,9,92,33,68,54,47,78,23,101,0
Linear Probing,23,8,93,31,70,44,57,62,39,78,23
Linear Probing,24,9,92,38,63,62,39,85,16,101,0
Linear Probing,25,10,91,40,61,53,48,81,20,101,0
Linear Probing,26,10,91,35,66,54,47,79,22,101,0
Linear Probing,27,13,88,29,72,45,56,64,37,96,5
Linear Probing,28,10,91,28,73,60,41,81,20,97,4
Linear Probing,29,12,89,27,74,49,52,68,33,95,6
Linear Probing,30,7,94,30,71,53,48,73,28,89,12
Linear Probing,31,11,90,34,67,51,50,70,31,101,0
Linear Probing,32,7,94,32,69,54,47,76,25,99,2
Linear Probing,33,10,91,29,72,49,52,73,28,97,4
Linear Probing,34,13,88,28,73,50,51,70,31,87,14
Linear Probing,35,9,92,35,66,51,50,71,30,89,12
Linear Probing,36,12,89,37,64,56,45,75,26,90,11
Linear Probing,37,10,91,29,72,47,54,65,36,86,15
Linear Probing,38,10,91,32,69,55,46,80,21,93,8
Linear Probing,39,15,86,31,70,46,55,63,38,76,25
Linear Probing,40,5,96,24,77,42,59,57,44,80,21
Linear Probing,41,12,89,30,71,46,55,68,33,82,19
Linear Probing,42,11,90,36,65,58,43,67,34,83,18
Linear Probing,43,8,93,33,68,54,47,78,23,99,2
Linear Probing,44,11,90,26,75,46,55,67,34,98,3
Linear Probing,45,11,90,26,75,47,54,74,27,96,5
Linear Probing,46,10,91,29,72,57,44,78,23,101,0
Linear Probing,47,9,92,26,75,47,54,66,35,86,15
Linear Probing,48,17,84,45,56,69,32,90,11,99,2
Linear Probing,49,10,91,31,70,56,45,75,26,101,0
Linear Probing,50,10,91,26,75,49,52,68,33,90,11
Linear Probing,51,8,93,31,70,54,47,78,23,88,13
Linear Probing,52,9,92,26,75,44,57,67,34,92,9
Linear Probing,53,9,92,29,72,52,49,69,32,86,15
Linear Probing,54,9,92,32,69,55,46,79,22,96,5
Linear Probing,55,8,93,30,71,53,48,72,29,93,8
Linear Probing,56,9,92,31,70,46,55,76,25,94,7
Linear Probing,57,4,97,22,79,39,62,59,42,77,24
Linear Probing,58,9,92,32,69,45,56,67,34,92,9
Linear Probing,59,12,89,29,72,44,57,70,31,85,16
Linear Probing,60,11,90,25,76,52,49,72,29,94,7
Linear Probing,61,10,91,30,71,44,57,65,36,85,16
Linear Probing,62,5,96,26,75,39,62,56,45,74,27
Linear Probing,63,10,91,25,76,44,57,62,39,78,23
Linear Probing,64,6,95,21,80,46,55,64,37,78,23
Linear Probing,65,13,88,38,63,60,41,77,24,92,9
Linear Probing,66,13,88,40,61,64,37,83,18,101,0
Linear Probing,67,4,97,25,76,45,56,62,39,93,8
Linear Probing,68,17,84,33,68,51,50,68,33,91,10
Linear Probing,69,10,91,33,68,49,52,61,40,85,16
Linear Probing,70,9,92,21,80,49,52,68,33,93,8
Linear Probing,71,14,87,35,66,66,35,86,15,101,0
Linear Probing,72,12,89,35,66,53,48,69,32,89,12
Linear Probing,73,7,94,28,73,46,55,73,28,92,9
Linear Probing,74,9,92,37,64,55,46,75,26,99,2
Linear Probing,75,11,90,31,70,61,40,82,19,97,4
Linear Probing,76,18,83,36,65,58,43,79,22,99,2
Linear Probing,77,10,91,22,79,39,62,58,43,76,25
Linear Probing,78,8,93,27,74,50,51,74,27,86,15
Linear Probing,79,15,86,35,66,57,44,75,26,93,8
Linear Probing,80,9,92,30,71,51,50,69,32,87,14
Linear Probing,81,10,91,30,71,52,49,76,25,94,7
Linear Probing,82,14,87,31,70,45,56,66,35,92,9
Linear Probing,83,8,93,18,83,35,66,55,46,79,22
Linear Probing,84,7,94,27,74,46,55,61,40,77,24
Linear Probing,85,6,95,31,70,43,58,61,40,81,20
Linear Probing,86,10,91,28,73,50,51,73,28,95,6
Linear Probing,87,11,90,28,73,48,53,69,32,96,5
Linear Probing,88,9,92,32,69,51,50,74,27,101,0
Linear Probing,89,9,92,33,68,50,51,72,29,93,8
